Business Name,Tier,Business Type,Street Address,Zip,Neighborhood,Phone,Website,Owner or Manager Full Name,Owner Title,Owner Email,General or Info Email,Instagram Handle,Staff Count,Staff Count Source,Booking Software,Booking Software Source,Google Rating,Google Review Count,Multi Location,Notes
GC By George Charles,1,hair salon,"34 E Oak St, Fl 4",60611,Streeterville / Gold Coast,(312) 643-0345,https://www.gcbygeorgecharles.com,George Charles Long,owner,,,@gcbygeorgecharles,26,https://www.gcbygeorgecharles.com/about-us/,phorest,https://www.phorest.com/salon/georgecharlessalon,4.9,1182,no,"4.9★ on Google (1,182 reviews); actively hiring (Careers/Join Our Team)."
River North Massage Therapy Center,1,beauty and wellness,"40 E Huron St, Ste 200,Fl 2, 2nd Floor",60611,Near North Side,(312) 854-2834,http://www.rivernorthmassage.com,,,,,@RiverNorthMassage,19,http://www.rivernorthmassage.com/our-staff.html,mindbody,http://www.rivernorthmassage.com,4.8,860,no,"Actively hiring; runs tiered Student/Graduate/Professional massage clinic model, roster of 19+ LMTs (undercounted, page truncated); Strong review base (860 Google reviews)"
Charles Ifergan Salon,1,hair salon,"106 E Oak St, Fl 4",60611,Streeterville / Gold Coast,(312) 642-4484,http://www.charlesifergan.com,Charles Ifergan,owner,,,@charlesifergan,18,http://www.charlesifergan.com/chicago/#team/,unknown,http://www.charlesifergan.com,4.6,324,yes (3),Celebrating 50 years in business; currently hiring (apprenticeship program).
Anthony Cristiano Salon,1,hair salon,"401 N Wabash Ave, Level 1M, Ste B",60611,Streeterville / Gold Coast,(312) 268-2440,http://www.anthonycristiano.com,Anthony Cristiano,owner,,info@anthonycristiano.com,@anthonycristianosalon,17,http://www.anthonycristiano.com/our-team,unknown,http://www.anthonycristiano.com/,4.6,82,no,"Owner Anthony Cristiano has 30+ years styling celebrities/editorial (Vogue, Vanity Fair, Kardashians, etc.), strong prestige angle for outreach"
Platinum 34,1,hair salon,"34 E Oak St, Fl 7",60611,Streeterville / Gold Coast,(312) 643-1288,http://www.platinum34.com,,,,,@platinum34salon,5,http://www.platinum34.com,unknown,http://www.platinum34.com,4.7,181,no,Currently hiring stylists.
Salon Buzz,1,beauty and wellness,1 E Delaware Pl,60611,Streeterville / Gold Coast,(312) 943-5454,http://www.salonbuzz.com,,,,,@salonbuzzchi,5,http://www.salonbuzz.com/team,zenoti,https://salonbuzz.zenoti.com/webstoreNew/services,4.8,324,yes (2),"Team page roster text cuts off mid-alphabet (site error partway through the list) -- 5 Gold Coast staff confirmed, but actual headcount may be higher."
Channing's Studio & Spa,2,beauty and wellness,"48 E Oak St, Fl 4",60611,Streeterville / Gold Coast,(312) 280-1994,http://www.channings.com,Cheryl Renella,owner,,info@channings.com,@channings_spa,4,http://www.channings.com/our-team,booker,https://go.booker.com/location/channingsspa,4.8,125,no,"Hiring (per website); Recently relocated to new elevated location at 48 E Oak St (Stone Island building, 4th floor)."
True Skin Care Center,2,beauty and wellness,"845 N Michigan Ave, Ste 923E",60611,Streeterville / Gold Coast,(312) 335-2070,http://www.trueskincarecenter.com,,,,,@tscc_official,3,http://www.trueskincarecenter.com/about-true/,unknown,http://www.trueskincarecenter.com/,4.6,18,no,
Aesthetics For You,,beauty and wellness,"60 E Delaware, Fl 15",60611,Streeterville / Gold Coast,(312) 731-5585,http://www.aestheticsforyou.com,Rana Kennelly,owner,,,@naturally_rana,,unverified,unknown,http://www.aestheticsforyou.com,,,no,
All For You On 2,,beauty and wellness,"845 N Michigan Ave, Fl 9, Ste 908",60611,Streeterville / Gold Coast,(312) 310-9029,,,,,,,,unverified,unknown,https://www.yelp.com/biz/all-for-you-on-2-chicago-3,,,no,
